condition,task_id,task_name,category,input_type,output_type,parse_transition,score_transition,path_transition,fp16_parse,candidate_parse,fp16_score,candidate_score,score_delta,fp16_path_score,candidate_path_score,path_delta,fp16_stop_reason,candidate_stop_reason,fp16_generated_tokens,candidate_generated_tokens
KIVI-4,000500,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,384,384
KIVI-4,000501,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,377,379
KIVI-4,000502,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.68,0.68,0.0,0.6,0.6,0.0,end_code,end_code,264,263
KIVI-4,000503,Text to JSON,T-generation,Text,JSON,both_pass,regressed,regressed,1,1,0.79,0.2,-0.5900000000000001,0.7333333333333333,0.0,-0.7333333333333333,end_code,end_code,711,729
KIVI-4,000504,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.72,0.72,0.0,0.6470588235294118,0.6470588235294118,0.0,end_code,end_code,413,413
KIVI-4,000505,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,327,327
KIVI-4,000506,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,510,527
KIVI-4,000507,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,334,377
KIVI-4,000508,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.2,0.2,0.0,0.0,0.0,0.0,end_code,end_code,361,359
KIVI-4,000509,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,457,457
KIVI-4,000510,Text to JSON,T-generation,Text,JSON,both_pass,regressed,regressed,1,1,1.0,0.47,-0.53,1.0,0.3333333333333333,-0.6666666666666667,end_code,end_code,753,508
KIVI-4,000511,Text to JSON,T-generation,Text,JSON,both_pass,improved,improved,1,1,0.41,1.0,0.5900000000000001,0.26666666666666666,1.0,0.7333333333333334,end_code,end_code,469,461
KIVI-4,000512,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.95,0.95,0.0,0.9375,0.9375,0.0,end_code,end_code,342,340
KIVI-4,000513,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.29,0.29,0.0,0.11764705882352941,0.11764705882352941,0.0,end_code,end_code,437,457
KIVI-4,000514,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,371,372
KIVI-4,000515,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,360,364
KIVI-4,000516,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,532,534
KIVI-4,000517,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,322,324
KIVI-4,000518,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,389,365
KIVI-4,000519,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,382,382
KIVI-4,000520,Text to JSON,T-generation,Text,JSON,both_pass,regressed,regressed,1,1,1.0,0.75,-0.25,1.0,0.6875,-0.3125,end_code,end_code,347,341
KIVI-4,000521,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,353,353
KIVI-4,000522,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,435,432
KIVI-4,000523,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,1.0,1.0,0.0,1.0,1.0,0.0,end_code,end_code,263,268
KIVI-4,000524,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.41,0.41,0.0,0.26666666666666666,0.26666666666666666,0.0,end_code,end_code,331,331
KIVI-4,000525,Text to JSON,T-generation,Text,JSON,both_pass,unchanged,unchanged,1,1,0.86,0.86,0.0,0.8235294117647058,0.8235294117647058,0.0,end_code,end_code,333,333
